  Time in years starting in 1927	Number of Hare furs in 10^4	Number of Lynx furs in 10^3
                   0	2.000000000000000	4.467000000000001
   1.000000000000000	2.000000000000000	2.623000000000000
   2.000000000000000	2.200000000000000	1.171000000000000
   3.000000000000000	2.700000000000000	0.797000000000000
   4.000000000000000	5.000000000000000	1.184000000000000
   5.000000000000000	5.500000000000000	1.438000000000000
   6.000000000000000	7.800000000000001	1.552000000000000
   7.000000000000000	7.000000000000000	2.949000000000000
   8.000000000000000	5.900000000000000	3.524000000000000
   9.000000000000000	2.800000000000000	4.242000000000000
  10.000000000000000	2.000000000000000	4.664000000000000
